No	Root
0001	ሀላፊ
0002	ሀሜት
0003	ሃሳብ
0004	ሀቅ
0005	ሀዘን
0006	ሀይል
0007	ሀፍረት
0008	ህሊና
0009	ህልም
0010	ህብር
0011	ህዝብ
0012	ህግ
0013	ህፃን
0014	ለሰለሰ
0015	ለቀለቀ
0016	ለቀማ
0017	ለበሰ
0018	ለካ
0019	ለኮሰ
0020	ለውጥ
0021	ለዘበ
0022	ለየ
0023	ለደፈ
0024	ላሰ
0025	ላከ
0026	ላጠ
0027	ላጨ
0028	ሌብነት
0029	ልመና
0030	ልማድ
0031	ልስን
0032	ልዩ
0033	ልጅ
0034	ልገሳ
0035	ልጥፍ
0036	ልፍያ
0037	መለስ
0038	መልስ
0039	መልከስከስ
0040	መልክ
0041	መመሳሰል
0042	መመሳቀል
0043	መማል
0044	መማቀቅ
0045	መሳም
0046	መስማት
0047	መስተዳድር
0048	መረዘ
0049	መሪ
0050	መራራት
0051	መራር
0052	መሬት
0053	መርታት
0054	መርከስ
0055	መርካት
0056	መርፈድ
0057	መሸጎጥ
0058	መሸጥ
0059	መሻር
0060	መሻት
0061	መቀበል
0062	መቀባጠር
0063	መቀዳጀት
0064	መቁረጥ
0065	መቅድም
0066	መቆም
0067	መብት
0068	መተረ
0069	መቻል
0070	መነመነ
0071	መነቀረ
0072	መነተፈ
0073	መነነ
0074	መነዘረ
0075	መንቀጥቀጥ
0076	መንደላቀቅ
0077	መንፈቅ
0078	መከተ
0079	መካን
0080	መካከል
0081	መወርወር
0082	መውደድ
0083	መዘመዘ
0084	መዘዝ
0085	መዘገበ
0086	መጣ
0087	መጣል
0088	ሙሽራ
0089	ሚስት
0090	ሚዛን
0091	ማህበር
0092	ማለፍ
0093	ማመልከት
0094	ማማሰያ
0095	ማማረር
0096	ማምለጥ
0097	ማሰር
0098	ማሴር
0099	ማረከ
0100	ማርከሻ
0101	ማበር
0102	ማበሻ
0103	ማበጠር
0104	ማባበል
0105	ማብረድ
0106	ማብቃት
0107	ማነቅ
0108	ማንቀርቆር
0109	ማከም
0110	ምስል
0111	ምስረታ
0112	ምስክር
0113	ምስጋና
0114	ምርምር
0115	ምርቃት
0116	ምርት
0117	ምርኮ
0118	ምሸጋ
0119	ምሽት
