# Kalmasoft Databases
# Database of Arabic words of Asian origin
# References: www.kalmasoft.com/KLEX/dbfasara.htm, www.kalmasoft.com/KLEX/dbsyara.htm, www.kalmasoft.com/KLEX/dbhinara.htm, www.kalmasoft.com/KLEX/dburdara.htm
# Resources: https://www.iranicaonline.org/scholar/ahmad-tafazzoli
# Availability: https://github.com/Kalmasoft/Databases/blob/main/Asian
# Terminology: www.kalmasoft.com/adevtool.htm
# Created: 2 Jul 2026 12:35 PM
# Updated: 12 Sep 2026 2:30 PM
# Encoding: UTF8
# Delimiter: TAB
# Total entries: 3,000+
# Copyright ©1999-2025 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# =========================================
# Licensed under Creative Commons Attribution-ShareAlike 4.0 International license.
# This is a work in progress, not completed, any citations for academic purposes should include the date when the file was downloaded.
# =========================================
# Attributes:
#	ID: 6 digits identification number
#		A######: Original entry (F: Farsi, H: Hindi, N: Sinhalese, S: Syriac, T: Tamil, U: Urdu)
#		K######: Kalmasoft added entry
#	Asian: Asian entry
#	ASIPA: Reading for Asian entry (International Phonetic Alphabet)
#	ARIPA: Reading for Arabic (International Phonetic Alphabet)
#	Arabic: Arabic parallel word
#	ASClass/ARClass: Asian/Arabic grammatical class
#		A: Adjective
#		D: Adverb
#		I: Infinitive (Arabic Mimatic infinitive)
#		G: Gerund (Hindi gerund)
#		M: Masdar (Arabic infinitive)
#		N: Noun
#		NT: Arabic Temporal noun
#		NL: Arabic Locative noun
#		Ncol: Regional colloquial Arabic Noun, region codes appear in "Locale", apply only to MSA otherwise
#		R: Particle
#		P: Participle
#		Vcol: Regional colloquial Arabic Verb, region codes appear in "Locale", apply only to MSA otherwise
#		VI: Verb imperfective
#		VJ: Verb jussive
#		VM: Verb imperative
#		VP: Verb perfective, past
#	ASSubclass/ARSubclass: Asian/Arabic entry grammatical subclass
#		CON: Conjunction
#		DIM: Demonstrative
#		PRP: Preposition
#		SNG: Singular
#		PLR: Plural
#		ACC: Accusative case
#		NOM: Nominative case
#		DAT: Dative case
#		GEN: Genitive case
#		IND: Indicative mood
#		SUB: Subjunctive mood
#	ASDomain/ARDomain: Asian/Arabic entry semantic domain
#		ANAT: Anatomy
#		ANIM: Animate
#		DMST: Domestic
#		DATE: Date
#		LANG: Language specific
#		NAME: Named entity
#		NUMB: Number
#		PLNT: Plant
#		RLGN: Religion
#	Category: Arabic entry usage category
#		ARC: Asian archaic entry
#		FFM: full form morphology
#		NUS: not used in Arabic
#		SSH: semantically shifted in Arabic
#	RootAS: Asian theoretical root
#	RootAR: Arabic root
#	Language: Asian language, ISO 639-3 three-letter code
#	Recipient: Recipient Arabic varieties, ISO 639-3 three-letter code
#	Locale: Locales of the recipient Arabic varieties, ISO3166-3 Alpha-3 country codes
#	Gloss: Arabic semantic adaptation in English
# =========================================
ID	Asian	ASIPA	ARIPA	Arabic	ASClass	ARClass	ASSubclass	ARSubclass	ASDomain	ARDomain	Category	RootAS	RootAR	Language	Recipient	Locale	Gloss
F00001	انبار	/ʔanbar/	/ʕənbər/	عَنْبَر	N	Ncol								fas	arz,apd	EGY,SDN	warehouse
F00002	بنفشه	/banafʃɒ/	/bənəfsəd͡ʒ/	بَنَفْسَج	N	N								fas	arb		violet
F00003	بوستان	/bustɒːn/	/bustaːn/	بُسْتان	N	N								fas	arb		garden
F00004	بیمارستان	/bimɒːristɒːn/	/biːmɑːrɪstɑːn/	بِيمَارِسْتَان	N	N								fas	arb		hospital
F00005	پرگار	/pirgɒːr/	/fɪrd͡ʒaːr/	فِرْجار	N	N								fas	arb		pair of compasses
F00006	پسته	/pistɒ/	/fustəq/	فُسْتَق	N	N								fas	arb		pistachio
F00007	پیاده 	/pijɒːdɒ/	/bəjdəg/	بَيْدَق	N	N								fas	arb		pawn
F00008	تابه	/tʰɒːbɒ/	/tˤəbəq/	طَبَق	N	N			DMST	DMST				fas	arb		frying pan
F00009	تاج	/tɒːdʒ/	/taːd͡ʒ/	تاج	N	N								fas	arb		crown
F00010	تبر	/tʰabar/	/tˤəbər/	طَبَر	N	N			DMST	DMST				fas	arb		axe
F00011	توت	/tuːt/	/tuːt/	تُوت	N	N			PLNT	PLNT				fas	arb		mulberry
F00012	جوراب	/dʒurɒːb/	/ʃurɑːb/	شُرَاب	N	N			DMST	DMST				fas	arb		stocking
F00013	جوراب 	/dʒurɒːb/	/d͡ʒurɑːb/	جُرَاب	N	N			DMST	DMST				fas	arb		stocking
F00014	چادر	/tʃʰɒːdar/	/ʃəwdər/	شَوْدَر	N	N			DMST	DMST				fas	arb		veil
F00015	چراغ	/tʃʰirɒːg/	/sɪrɑːd͡ʒ/	سِرَاج	N	N			DMST	DMST				fas	arb		lamp
F00016	چرخ 	/tʃʰirɒːχ/	/ʃiːrɑːz/	شِيرَاز	N	N								fas	arb		curdled whey
F00017	خرده	/χurda/	/χurdaː/	خُرْدَة	N	N								fas	arb		(small) change
F00018	خندق	/χandaq/	/χəndəq/	خَنْدَق	N	N								fas	arb		ditch, moat
F00019	دستور	/dustuːr/	/dustuːr/	دُسْتُور	N	N								fas	arb		rule, minister
F00020	دهلیز	/dihliːz/	/dɪhliːz/	دِهْلِيز	N	N								fas	arb		vestibule
F00021	راسته	/rastɒ/	/ruzdəg/	رُزْدَق	N	N								fas	arb		row
F00022	رخ	/ruχ/	/ruχ/	رُخ	N	N			ANIM	ANIM				fas	arb		rook
F00023	زاج	/zɒːdʒ/	/zɑːd͡ʒ/	زَاج	N	N								fas	arb		alum
F00024	سرگین	/sirgiːn/	/sɪrd͡ʒiːn/	سِرْجِين	N	N								fas	arb		dung
F00025	سریش	/sireʃ/	/ʃɪrɑːs/	شِرَاس	N	N			DMST	DMST				fas	arb		glue
F00026	شطرنج	/ʃatʰrandʒ/	/ʃətˤrənd͡ʒ/	شَطْرَنْج	N	N			DMST	DMST				fas	arb		chess
F00027	شلوار	/ʃilwɒːr/	/sɪrwaːl/	سِرْوال	N	N			DMST	DMST				fas	arb		trousers
