# Kalmasoft Databases
# Database of Arabic words of Ethiopic origin
# References: www.kalmasoft.com/KLEX/dbamara.htm, www.kalmasoft.com/KLEX/dbtirara.htm, www.kalmasoft.com/KLEX/dbtigara.htm
# Primary resources: Lexical Data Repository of the Ge'ez Frontier Foundation https://github.com/geezorg/data/tree/master; HornMorpho is part of the L3 Project http://www.cs.indiana.edu/~gasser/Research/projects.html; Carl W. Isenberg, Grammar of the Amharic Language
# Secondary resources: https://github.com/admasethiopia/dictionaries/blob/master/Amharic%20Tigrinya%20English%20Dictionary.txt, https://github.com/fgaim/Tigrinya-BiLexicon/blob/master/Tigrinya-English.dic
# Related works: www.kalmasoft.com/KLEX/dcamhara.htm, www.kalmasoft.com/KLEX/dbsyriac.htm
# Availability: https://github.com/Kalmasoft/Databases/blob/main/Ethiopic
# Terminology: www.kalmasoft.com/adevtool.htm
# Tools: Amharic Verb Conjugation generator www.kalmasoft.com/KMAPS/eamrconj.htm
# Created: 3 Jan 2021 8:38 AM
# Updated: 11 Sep 2026 2:12 PM
# Encoding: UTF8
# Delimiter: TAB
# Total entries: 4,000+
# Copyright ©1999-2025 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# =========================================
# Licensed under Creative Commons Attribution-ShareAlike 4.0 International license.
# This is a work in progress, not completed, any citations for academic purposes should include the date when the file was downloaded.
# =========================================
# Attributes:
#	ID: 6 digits identification number
#		A######: HornMorpho original entry (A: Amharic, G: Ge'ez, R: Tigrinya, T: Tigre)
#		K######: Kalmasoft added entry
#	Ethiopic: Ethiopic entry
#	ETIPA: Reading for Ethiopic entry (International Phonetic Alphabet)
#	ARIPA: Reading for Arabic (International Phonetic Alphabet)
#	Arabic: Arabic parallel word
#	ETClass/ARClass: Ethiopic/Arabic grammatical class
#		A: Adjective
#		D: Adverb
#		I: Infinitive (Amharic infinitive, Arabic Mimatic infinitive)
#		G: Gerund (Amharic gerund)
#		M: Masdar (Arabic infinitive)
#		N: Noun
#		NT: Arabic Temporal noun
#		NL: Arabic Locative noun
#		Ncol: Regional colloquial Arabic Noun, region codes appear in "Locale", apply only to MSA otherwise
#		R: Particle
#		P: Participle (Amharic and Arabic active participle)
#		Vcol: Regional colloquial Arabic Verb, region codes appear in "Locale", apply only to MSA otherwise
#		VI: Verb imperfective (Amharic contingent, Arabic imperfective)
#		VC: Verb compound imperfective (Amharic compound imperfective, Arabic emphatic imperfective)
#		VJ: Verb jussive
#		VM: Verb imperative
#		VP: Verb perfective, past
#	ETSubclass/ARSubclass: Ethiopic/Arabic entry grammatical subclass
#		CON: Conjunction
#		PRP: Preposition
#		SNG: Singular
#		PLR: Plural
#		ACC: Accusative case
#		NOM: Nominative case
#		DAT: Dative case
#		GEN: Genitive case
#		IND: Indicative mood
#		SUB: Subjunctive mood
#	ETDomain/ARDomain: Ethiopic/Arabic entry semantic domain
#		ANAT: Anatomy
#		ANIM: Animate
#		DMST: Domestic
#		DATE: Date
#		LANG: Language specific
#		NAME: Named entity
#		NUMB: Number
#		PLNT: Plant
#		RLGN: Religion
#	Category: Arabic entry usage category
#		ARC: Ethiopic archaic entry
#		FFM: full form morphology
#		NUS: not used in Arabic
#		SSH: semantically shifted in Arabic
#	RootET: Ethiopic theoretical root
#	RootAR: Arabic root
#	Language: Ethiopic language, ISO 639-3 three-letter code
#	Recipient: Recipient Arabic varieties, ISO 639-3 three-letter code
#	Locale: Locales of the recipient Arabic varieties, ISO3166-3 Alpha-3 country codes
#	Gloss: Arabic semantic adaptation in English
# =========================================
ID	Ethiopic	ETIPA	ARIPA	Arabic	ETClass	ARClass	ETSubclass	ARSubclass	ETDomain	ARDomain	Category	RootAM	RootAR	Language	Recipient	Locale	Gloss
A00001	አሣር	/ʔɛsaːr/	/isˤr/	إصْر	N	N				RLGN			إصر	amh	arb		test suffering, ordeal
A00002	ማደብ	/maːdɛb/	/maʔdab/	مَأدَب	G	G						ሀደበ	أدب	amh	arb		behave well
A00003	ማደብ	/maːdɛb/	/maʔdab/	مَأْدَب	I							ሀደበ	أدب	amh	arb		behave well
A00004	አደበ	/ʔɛdɛbɛ/	/ʔdaba/	أَدَبَ	VP	VP						ሀደበ	أدب	amh	arb		behave well
A00005	አዳቢ	/ʔɛdab/	/ʔdːaːb/	أدَّاب	P	P						ሀደበ	أدب	amh	arb		behave well
A00006	አድቦ	/ʔɛdɨbo/	/ʔdbun/	أدْبٌ	G	M						ሀደበ	أدب	amh	arb		behave well
A00007	ያድባል	/jadɨbal/	/jaʔdibanːa/	يَأْدِبَنَّ	VC	VC						ሀደበ	أدب	amh	arb		behave well
A00008	ያድብ	/jadɨb/	/jaʔdib/	يَأْدِب	VI	VI						ሀደበ	أدب	amh	arb		behave well
A00009	መታሠሪያ	/mɛtasɛrija/	/maʔsar/	مَأسَر	N	N							أسر	amh	arb		detention center, reformatory
A00010	ማሰር	/maːsɛr/	/maʔsar/	مَأسَر	G	G						ሀሰረ	أسر	amh	arb		tie, imprison
A00011	ማሰር	/maːsɛr/	/maʔsar/	مَأْسَر	I							ሀሰረ	أسر	amh	arb		tie, imprison
A00012	ታሰ፟ረ	/tasːɛrɛ/	/taʔsːara/	تَأَسَّرَ	VP	VP							أسر	amh	arb		be tied
A00013	ታሰር	/tasɛr/	/taʔsːar/	تَأَسَّر	VM	VM							أسر	amh	arb		be tied
A00014	ታስሮ	/tasɨro/	/taʔsːurun/	تَأَسُّرٌ	G	M							أسر	amh	arb		be tied
A00015	አሰረ	/ʔɛsɛrɛ/	/ʔsara/	أسَرَ	VP	VP						ሀሰረ	أسر	amh	arb		tie, imprison
A00016	አሰራ	/ʔɛsɛraː/	/ʔsara/	أسَرَ	VP	VP							أسر	amh	arb		recoup, recover
A00017	አሣሪ	/ʔɛsaːr/	/ʔːsir/	آسِر	N	N							أسر	amh	arb		one who puts someone behind bars
A00018	አሳሪ	/ʔɛsar/	/ʔsːaːr/	أسَّار	P	P						ሀሰረ	أسر	amh	arb		tie, imprison
A00019	አስሮ	/ʔɛsɨro/	/ʔsrun/	أَسْرٌ	G	M						ሀሰረ	أسر	amh	arb		tie, imprison
A00020	አስሮ	/ʔɛsɨro/	/ʔsrun/	أَسْرٌ	G	M						ሀሰረ	أسر	amh	arb		tie, imprison
A00021	እሥራት	/ʔɨsɨraːt/	/ʔsr/	أسْر	N	N							أسر	amh	arb		incarceration, custody, confinement, detention
A00022	እሥር	/ʔɨsɨr/	/ʔsr/	أسْر	N	N							أسر	amh	arb		detention, incarceration, bunch, pack
A00023	ያስራል	/jasɨraːl/	/jaʔsiranːa/	يَأْسِرَنَّ	VC	VC						ሀሰረ	أسر	amh	arb		tie, imprison
A00024	ይሰር	/jɨsɛr/	/jaʔsir/	يَأْسِر	VI	VI						ሀሰረ	أسر	amh	arb		tie, imprison
A00025	ይታ፟ሰ፟ር	/jɨtːasːɛr/	/jaʔsːir/	يَأَسِّر	VI	VI							أسر	amh	arb		be tied
A00026	አሻራ	/ʔɛʃaraː/	/iʃaːra/	إشَارة	N	N	SNG	SNG					أشر	amh	arb		mark made by pressing an inked finger on to paper
A00027	ማጠር	/maːtˤɛr/	/maʔtˤar/	مَأْطَر	I							ሀጠረ	أطر	amh	arb		make fence, be short
A00028	አጠረ	/ʔɛtˤɛrɛ/	/ʔtˤara/	أَطَرَ	VP	VP						ሀጠረ	أطر	amh	arb		make fence, be short
A00029	አጣሪ	/ʔɛtˤar/	/ʔtˤːaːr/	أَطَّار	P	P						ሀጠረ	أطر	amh	arb		make fence, be short
A00030	አጥር	/ʔɛtˤɨr/	/itˤaːr/	إِطَار	N	N	SNG	SNG					أطر	amh	arb		fence
A00031	አጥሮ	/ʔɛtˤɨro/	/ʔtˤrun/	أَطْرٌ	G	M						ሀጠረ	أطر	amh	arb		make fence, be short
A00032	ያጥራል	/jatˤɨraːl/	/jaʔtˤiranːa/	يَأْطِرَنَّ	VC	VC						ሀጠረ	أطر	amh	arb		make fence, be short
A00033	ይጠር	/jɨtˤɛr/	/jaʔutˤir/	يَؤْطِر	VI	VI						ሀጠረ	أطر	amh	arb		make fence, be short
A00034	አታክልት	/ʔɛtakɨlɨt/	/ʔkl/	أكْل	N	N	SNG	SNG					أكل	amh	arb		edible plant, especially leafy or fleshy parts, like cabbage. Salad
A00035	አለፈ	/ʔɛlɛfɛ/	/ʔlafa/	أَلَفَ	VP	VP						ሀለፈ	ألف	amh	arb		pass
A00036	አልፎ	/ʔɛlɨfo/	/ʔlfun/	أَلْفٌ	G	M						ሀለፈ	ألف	amh	arb		pass
A00037	ያልፋል	/jalɨfal/	/jaʔlifanːa/	يَأْلِفَنَّ	VC	VC						ሀለፈ	ألف	amh	arb		pass
A00038	ይለፍ	/jɨlɛf/	/jaʔlif/	يَأْلِف	VI	VI						ሀለፈ	ألف	amh	arb		pass
A00039	ይለፍ	/jɨlɛf/	/iːlaːf/	إيلَاف	N	N	SNG	SNG		RLGN		ሀለፈ	ألف	amh	arb		passage
A00040	ማመን	/maːmɛn/	/maʔman/	مَأمَن	G	G						ሀመነ	أمن	amh	arb		believe
A00041	ማመን	/maːmɛn/	/maʔman/	مَأْمَن	I							ሀመነ	أمن	amh	arb		believe
A00042	አመነ	/ʔɛmɛnɛ/	/ʔːmana/	آمَنَ	VP	VP						ሀመነ	أمن	amh	arb		believe
A00043	አማን	/ʔɛmaːn/	/ʔmaːn/	أمَان	N	N						ሀመነ	أمن	amh	arb		serenity, peacefulness
A00044	አማኝ	/ʔɛmaːɲ/	/ʔːmin/	آمِن	N	N						ሀመነ	أمن	amh	arb		advocate, one who trusts in (someone, something)
A00045	አማኝ	/ʔɛmaːɲ/	/ʔmːaːn/	أمَّان	P	P						ሀመነ	أمن	amh	arb		believe
A00046	አምኖ	/ʔɛmɨno/	/ʔmnun/	أَمْنٌ	G	M						ሀመነ	أمن	amh	arb		believe
A00047	እመን	/ʔɨmɛn/	/ʔmn/	أمْن	N	N						ሀመነ	أمن	amh	arb		trust
A00048	እምነት	/ʔɨmɨnɛt/	/iːmaːn/	إيمَان	N	N			RLGN	RLGN		ሀመነ	أمن	amh	arb		belief
A00049	እምነት	/ʔɨmɨnɛt/	/ʔmaːna/	أمَانة	N	N						ሀመነ	أمن	amh	arb		conviction, trust, confidence
A00050	ያምናል	/jamɨnal/	/jaʔminanːa/	يَأْمِنَنَّ	VC	VC						ሀመነ	أمن	amh	arb		believe
A00051	ይመን	/jɨmɛn/	/juʔumin/	يُؤمِن	VI	VI						ሀመነ	أمن	amh	arb		believe
A00052	መባስ	/mɛbas/	/mabʔs/	مَبْأَس	I							ባህሰ	بأس	amh	arb		get worse
A00053	ቢስ	/bis/	/baʔs/	بَأس	N	N						ባህሰ	بأس	amh	arb		invalid
A00054	ባሰ	/basɛ/	/baʔsa/	بَأسَ	VP	VP						ባህሰ	بأس	amh	arb		get worse
A00055	ባሽ	/baʃ/	/baːjiðˤ/	بَايِظ	P	Pcol						ባህሰ	بأس	amh	apd	SDN	get worse
A00056	ባሽ	/baʃ/	/baːʔis/	بَائِس	P	P						ባህሰ	بأس	amh	arb		get worse
A00057	ብሶ	/bɨso/	/baʔsun/	بَأسٌ	G	M						ባህሰ	بأس	amh	arb		get worse
A00058	ይባስ	/jɨbas/	/jabʔs/	يَبْأس	VI	VI						ባህሰ	بأس	amh	arb		get worse
A00059	ይብሳል	/jɨbɨsal/	/jabʔsanːa/	يَبْأسَنَّ	VC	VC						ባህሰ	بأس	amh	arb		get worse
A00060	በጠበጠ	/bɛtˤɛbɛtˤɛ/	/batbata/	بَتْبَتَ	VP	VP							بتبت	amh	arb		shake, disturb
A00061	በጥባጭ	/bɛtˤɨbatʃ/	/batbaːt/	بَتْبَات	P	P							بتبت	amh	arb		shake, disturb
A00062	በጥብጦ	/bɛtˤɨbɨtˤo/	/batbatatun/	بَتْبَتَةٌ	G	M							بتبت	amh	arb		shake, disturb
