# Kalmasoft Databases
# Database of World Famous People
# References: www.kalmasoft.com/KLEX/dbfamnm.htm
# Created: 27 Dec 2013
# Updated: 13 Jun 2026
# Encoding: UTF8
# Delimiter: TAB
# Total names: 8,000,000+ records
# Copyright ©1999-2025 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# =========================================
# Attributes:
#	ID:7 digits variant identification number, [N#######]
#	ARABIC: unvocalized Arabic name.
#	ENGLISH: name in English.
#	KATS: name in Kalmasoft's KATS, refer www.kalmasoft.com/adevtool.htm# kats
#	CATEGORY: field of specialization, please refer to www.kalmasoft.com/code.htm
#	SUBCAT: activity subcategory, please refer to www.kalmasoft.com/code.htm# subcat
#	COUNTRY: ISO3166 Alpha3 three letter country code
#	GENDER: name gender; M: male, F: female.
# =========================================
ID	ENGLISH	ARABIC	KATS	CATEGORY	SUBCAT	COUNTRY	GENDER
N0000001	Sylvester Stallone	سيلفستر ستالوني	sylfstr stAlwny	ART	ACTS	USA	M
N0000002	John Garang	جون غارانغ	jwn gArAng	PLC		SDN	M
N0000003	Fidel Castro	فيدل كاسترو	fydl kAstrw	PLC		CUB	M
N0000004	Kizo Obutchi	كيزو أوبوتشي	kyzw !wbwt$y	PLC		JPN	M
N0000005	Tom Hanks	توم هانكس	twm hAnks	ART	ACTS	USA	M
N0000006	Diana López	ديانا لوبيز	dyAnA lwbyz	PLC		NIC	F
N0000007	Bill Gates	بيل غيتس	byl gyts	BUS	CMPT	USA	M
N0000008	Winston Churchill	ونستون تشرشل	wnstwn t$r$l	PLC		GBR	M
N0000009	Ayaka Hirahara	أياكا هيراهارا	!yAkA hyrAhArA	ART	SING	JPN	F
N0000010	David Beckham	ديفيد بيكهام	dyfyd bykhAm	SPT	SOCR	GBR	M
N0000011	Donald Trump	دونالد ترامب	dwnAld trAmb	BUS		USA	M
N0000012	Albert Einstein	ألبرت آينشتاين	!lbrt |yn$tAyn	SCI	PHYS	USA	M
N0000013	Thierry Henry	تييري هينري	tyyry hynry	SPT	SOCR	FRA	M
N0000014	Bob Marley	بوب مارلي	bwb mArly	ART	SING	ZWE	M
N0000015	Adolf Hitler	إدولف هتلر	Edwlf htlr	PLC		DEU	M
N0000016	Marilyn Monroe	مارلين مونرو	mArlyn mwnrw	ART	ACTS	USA	F
