# Kalmasoft Databases
# Database of Romanized Arabic Names (Given/Surnames)
# References: www.kalmasoft.com/KLEX/dbgivnm.htm, www.kalmasoft.com/KLEX/dbsurnm.htm, www.kalmasoft.com/KLEX/dbvarom.htm
# Created: 13 Apr 2019
# Updated: 13 Jun 2026
# Encoding: UTF8
# Delimiter: TAB
# Total entries: +1M
# Unique given names: +50K
# Unique surnames: +250K
# Countries covered: 20
# Copyright 1999-2025 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# =========================================
# Attributes:
#	ID: Reference ID; A: Arabic, N: non-Arabic
#	Arabic: unvocalized Arabic name
#	Vocalized: vocalized Arabic name
#	Roman: Roman transcription
#	Gender: name gender
#		F: female
#		M: male
#		U: unisex
#	Type: type of name
#		G: given name
#		S: surname, last name
#		B: last name, Professional Nisba i.e. business or profession related
#		C: last name, Tribal Nisba i.e. clan related
#		K: last name, Kunya i.e. paternal or maternal related
#		L: last name, Geogrpahic Nisba i.e. location related
#		N: last name, Nasab i.e. direct or legendary lineage
#		P: middle name, patronymic
#	Trans: Variant's regional transcription language
#		DEU: German  (Germanic)
#		EN: English  (Anglophone)
#		ES: Spanish  (Hispanic)
#		FR: French (Francophone)
#		IT: Italian
#		NL: Dutch  (Germanic)
#		TR: Turkish
#	Spelling: Type of regional spelling
#		A: Adaptive transcription
#		E: Extended characters
#		F: False variant
#		M: Matres lectionis
#		S: Standard spelling
#	Pronunciation: Pronunciation type
#		L: Local accent
#		S: Standard pronunciation
#	Origin: Possible ethnic origin
#		NAN: Native Arabic
#		QAS: Quasi-Arabic
#		AFR: African
#		AMZ: Amazigh
#		ARM: Armenian
#		GRK: Greek
#		HEB: Hebrew
#		HND: Hindi
#		PER: Persian
#		RUS: Russian
#		TUR: Turkish
#		WST: Western
#	Reference: reference to the valid name
#	Country: variant dominant country, ISO3166 Alpha3 three-letter country code.
# =========================================
# Notes:
# (1) Variant names follow common Arabic orthography.
# (2) The vocalized form is the most correct pronunciation according to the corresponding region where used.
# (3) Surnames are detailed further to P, B, C, K, and N, all may be considered surnames.
# (4) Few hundreds non-Arabic names added, those are names common in Egypt, Lebanon, Jordan, Syria and Iraq, mostly Christian names, those few thousands "most common" names of non-Arabic origins that found in Arabic region for the following communities: African (e.g. بابو), Armenian (e.g. سركيس), Berber (e.g. تاشفين), Coptic (e.g. دميانة), Kurdish (e.g. آراس), Persian (e.g. آناهيد), Roman (e.g. بطرس), Turkish (e.g. حكمت).
# (5) Romanization for names of non-Arabic origins will be identical to their English orthography if applicable e.g. (جوزيف = Joseph).
# (6) No reference to community or ethnic group is given for names of non-Arabic origins, only the the country code.
# (7) Names of non-Arabic origins were kept to minimum (~1%) of total distinct names (basic set) so as not to give way to the much larger set of non-Arabic names already available as different data set here www.kalmasoft.com/KLEX/dbnames.htm
# (8) True orthographic variants (mainly space added) were kept to minimum.
# (9) False variants are mostly common spelling errors being either "Initial Hamza over Alif (أ) replaced by Alif (ا)", "Initial Hamza under Alif (إ) replaced by Alif (ا)", "Taa Marbuta (ة) replaced by Final Haa (ه)", "Final Yaa (ي) replaced by Alif Maqsura (ى)", or the space in multipart names.
# =========================================
ID	Arabic	Vocalized	Roman	Gender	Type	Transcript	Spelling	Pronunciation	Origin	Country
A000001	ابوصايمة	اَبُوصَايمَة	Abosaymah	M	S	EN	F	S	NAN	PSE
A000002	ابوصايمة	اَبُوصَايمَة	Aboussaima	M	S	FR	F	S	NAN	PSE
A000003	البستجي	البَسْتجِي	Albastji	M	B	EN	S	L	TUR	IRQ
A000004	البستجي	البَسْتجِي	Elbestdji	M	B	FR	S	L	TUR	IRQ
A000005	البستجي	البَسْتَجِي	Albastaji	M	B	EN	S	L	TUR	IRQ
A000006	البستجي	البَسْتَجِي	Elbestedji	M	B	FR	S	L	TUR	IRQ
A000007	البسطجي	البُسْطَجِي	Albostagi	M	B	EN	S	L	TUR	JOR
A000008	البسطجي	البُسْطَجِي	Albostaji	M	B	EN	S	L	TUR	JOR
A000009	البسطجي	البُسْطَجِي	Albustagi	M	B	EN	S	L	TUR	JOR
A000010	البسطجي	البُسْطَجِي	Albustaji	M	B	EN	S	L	TUR	JOR
A000011	البسطجي	البُسْطَجِي	Elboustedji	M	B	FR	S	L	TUR	JOR
A000012	البلتجي	البَلْتَجِي	Albaltaji	M	B	EN	S	L	TUR	YEM
A000013	البلتجي	البَلْتَجِي	Elbeltedji	M	B	FR	S	L	TUR	YEM
A000014	البلطجى	البَلْطَجِى	Albaltaji	M	B	EN	S	L	TUR	EGY
A000015	البلطجى	البَلْطَجِى	Elbeltedji	M	B	FR	S	L	TUR	EGY
A000016	البناي	البَنَايّ	Albanai	M	S	EN	S	S	NAN	BHR
A000017	البناي	البَنَايّ	Albanay	M	S	EN	S	S	NAN	BHR
A000018	البنبلي	البَنْبَلِي	Albanbali	M	S	EN	S	S	NAN	TUN
A000019	البنبلي	البَنْبَلِي	Albanbaly	M	S	EN	S	S	NAN	TUN
A000020	البندري	البَنْدَرِي	Albandari	F	G	EN	S	S	NAN	
A000021	البندري	البَنْدَرِي	Elbandari	F	G	ES	S	S	NAN	
A000022	البندري	البَنْدَرِي	Elbenderi	F	G	FR	S	S	NAN	
A000023	البندري	البَنْدَرِيّ	Albandaree	F	G	EN	S	S	NAN	
A000024	البندري	البَنْدَرِيّ	Albandariy	F	G	EN	S	S	NAN	
A000025	البندي	البَنْدِي	Albandi	M	S	EN	S	S	NAN	TUN
A000026	البندي	البَنْدِي	Albandy	M	S	EN	S	S	NAN	TUN
A000027	البنعلي	البَنْعَلِي	Albanali	M	S	EN	S	S	NAN	BHR
A000028	البنعلي	البَنْعَلِي	Albanaly	M	S	EN	S	S	NAN	BHR
A000029	البنوت	البَنُوت	Albanout	F	G	FR	S	S	NAN	
A000030	البنوت	البَنُوت	Albanut	F	G	EN	S	S	NAN	
A000031	البنوري	البَنُورِي	Albanuri	M	S	EN	S	S	NAN	MAR
A000032	البنوري	البَنُورِي	Albanury	M	S	EN	S	S	NAN	MAR
A000033	البنون	البَنُون	Albanon	F	G	IT	S	S	NAN	
A000034	البنون	البَنُون	Albanoon	F	G	NL	S	S	NAN	
A000035	البنون	البَنُون	Albanun	F	G	EN	S	S	NAN	
A000036	البنون	البَنُون	Elbanon	F	G	ES	S	S	NAN	
A000037	البنون	البَنُون	Elbenoune	F	G	FR	S	S	NAN	
A000038	البنوني	البَنُونِي	Albanuny	M	S	EN	S	S	NAN	MAR
