# Kalmasoft Databases
# Database of Muslim Names
# References: www.kalmasoft.com/KLEX/dbmuslm.htm, www.kalmasoft.com/KLEX/dbvarom.htm
# Created: 20 Apr 2019
# Updated: 13 Jun 2026
# Version: 1.0
# Encoding: UTF8
# Delimiter: TAB
# Total entries: 3,000,000+
# Countries covered: 40
# Copyright 1999-2025 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
#=========================================
# Attributes:
#	ID: Reference number
#	Roman: Roman transcription
#	Gender: M: male
#		F: female
#		U: unisex
#	Type: type of name
#		F: first/given name
#		L: last/surname, last name
#		A: last name, Aptonym, Professional Nisba i.e. occupation or profession related
#		C: last name, Tribal Nisba i.e. clan related
#		D: last name, Geographic Nisba i.e. place related
#		M: middle name
#		P: last name, Patronym, Nasab i.e. true or legendary lineage
#		T: last name, Teknonym, Kunya i.e. paternal or maternal related
#	Origin: Spelling inferred potential ethnic origin
#		NAR: Native Arabic
#		QAS: Quasi-Arabic
#		ASN: Asian
#		AFR: African
#		AMZ: Amazigh
#		PER: Persian
#		TUR: Turkish
#	Locale: prevalent spelling geographies, ISO3166 Alpha3 three-Letter country code
#	Reference: reference to the original name in native script
#=========================================
# A. General notes:
# (1) This database is compiled from Arabic names prospective since Muslim names are closely related to Arabic names.
# (2) The vocalized form is the most correct prununciation according to the corresponding region where used.
# (3) Names in Perso-Arabic script (Afghanistan, Iran, Pakistan, and Tajikstan) have no vocalized version since short vaowels are rarely used in writing.
# (4) Surnames are detailed further to P, B, C, K, and N, all may be considered surnames.
# (5) True orthographic variants (mainly space added) were kept to minimum.
#=========================================
# B. Notes on Arabic name types:
# (1) Non-Arabic Nisba component does not affect Arab name (eg. Ait Mehdi) is Arabic.
# (2) Non-Arabic Nasab component does not affect Arab name (eg. Qasbaji, Fikriyan) are Arabic.
# (3) Multi-origin names should take the classification of the longest componen (eg. Basmajiyan) has 3 different origin components but is Arabic.
# (7) Quasi-Arab are those orignialy Arabic mixed with non-Arabic content (eg. Ait Hasan).
# (8) Old non-Arab biblical names (eg. Ibrahim, Yusif) considered Arabic.
#=======================Sample==========================
ID	Roman	Gender	Type	Transcript	Origin	Locale	Reference
M000001	Afsana	F	F	EN	PER	AFG	افسانه
M000002	Afsheen	M	F	EN	PER	AFG	افشين
M000003	Aghala	F	F	EN	PER	AFG	اغله
M000004	Ahmadallah	M	F	EN	PER	AFG	احمدالله
M000005	Ahtram	M	F	EN	PER	AFG	احترام
M000006	Aimal	M	F	EN	PER	AFG	اېمل
M000007	Ainayat	M	F	EN	PER	AFG	عنايت
M000008	Aismat	M	F	EN	PER	AFG	عصمت
M000009	Aiyamee	M	L	EN	PER	AFG	ايامي
M000010	Aiyub	M	F	EN	PER	AFG	ايوب
M000011	Aizat Allah	M	F	EN	PER	AFG	عزت الله
M000012	Akbar	M	F	EN	PER	AFG	اکبر
M000013	Akhlaqee	M	L	EN	PER	AFG	اخلاقي
M000014	Akhwandzada	M	L	EN	PER	AFG	آخوندزاده
M000015	Akram	M	F	EN	PER	AFG	اکرم
M000016	Alamzeb	M	F	EN	PER	AFG	علم زيب
M000017	Alsibayli	M	L	EN	NAR	EGY	السبيلي
M000018	Alsifaydi	M	L	EN	NAR	EGY	الصفيدي
M000019	Alsihayli	M	L	EN	NAR	EGY	السحيلي
M000020	Alsihayti	M	L	EN	NAR	EGY	السحيتي
M000021	Alsijayai	M	L	EN	NAR	EGY	السجيعي
M000022	Alsijayni	M	L	EN	NAR	EGY	السجيني
M000023	Nurul Ain	F	F	NL	ASN	IDN	نور العين
M000024	Nurul Fatimah	F	F	NL	ASN	IDN	نور فاطمة
M000025	Nurul Gayatri	F	F	NL	ASN	IDN	
M000026	Nurul Hanifah	F	F	NL	ASN	IDN	نور حنيفة
M000027	Nurul Hidayat	M	F	NL	ASN	IDN	نور الهداية
M000028	Nurul Latifah	F	F	NL	ASN	IDN	نور اللطيف
M000029	Nurul Mubarokah	F	F	NL	ASN	IDN	نور المبارك
M000030	Nurul Wahyuni	F	F	NL	ASN	IDN	نور الوحي
M000031	Siti Nurrahmanu	F	F	NL	ASN	IDN	ستي نور الرحمن
M000032	Siti Rohmah Nur Fauziyah	F	F	NL	ASN	IDN	ستي رحمة نور فوزية
M000033	Siti Romlah	F	F	NL	ASN	IDN	ستي رملة
M000034	Siti Soleha	F	F	NL	ASN	IDN	ستي زليخة
M000035	Siti Umayah	F	F	NL	ASN	IDN	ستي أمية
M000036	Siti Zaenab	F	F	NL	ASN	IDN	ستي زينب
M000037	Siti Zaenap	F	F	NL	ASN	IDN	ستي زينب
M000038	Siti Zulaiha	F	F	NL	ASN	IDN	ستي زليخة
M000039	Sitti Julaeha	F	F	NL	ASN	IDN	ستي زليخة
M000040	Aboubacrine	M	F	FR	AFR	MLI	أبوبكر
M000041	Aboubakar	M	F	FR	AFR	MLI	أبوبكر
M000042	Aboubakere	M	F	FR	AFR	MLI	أبوبكر
M000043	Aboubakr	M	F	FR	AFR	MLI	أبوباكر
M000044	Aboubakrine	M	F	FR	AFR	MLI	أبوبكر
M000045	Alhousseïni	M	F	FR	AFR	MLI	الحسين
M000046	Alhousséini	M	F	FR	AFR	MLI	الحسين
M000047	Alhousséïni	M	F	FR	AFR	MLI	الحسين
M000048	Alhousseinou	M	F	FR	AFR	MLI	الحسين
M000049	Alhousseiny	M	F	FR	AFR	MLI	الحسين
M000050	Alhousseïny	M	F	FR	AFR	MLI	الحسين
M000051	Alhousséïny	M	F	FR	AFR	MLI	الحسين
M000052	Alhoussène	M	F	FR	AFR	MLI	الحسين
M000053	Alhousseni	M	F	FR	AFR	MLI	الحسين
M000054	Sharia	M	F	EN	NAR		شارع
M000055	Sharib	M	F	EN	NAR		شارب
M000056	Sharid	M	F	EN	NAR		شارد
M000057	Sharidaa	M	F	NL	NAR		شريدة
