# Kalmasoft Databases
# Database of Arabicized Romanized Names
# References: www.kalmasoft.com/KLEX/dbgivnm.htm
# Created: 8 Nov 2018
# Updated: 17 Apr 2022
# Encoding: UTF8
# Delimiter: TAB
# Total names: contact Kalmasoft
# Countries covered: 220
# Version: 1.05
# Copyright ©1999-2020 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# =========================================
# Attributes:
#	ID:6 digits identification number
#		[A######]: Arabic origin name
#		[N######]: Non-Arabic name
#	Name:
#		Name entry
#	Arabic:
#		Arabic transcription
#	Country:
#		Country name
# 
# =========================================



ID	Name	Arabic	Country

US000001	Aaralyn	آرالين	GBR
US000002	Adelie	أدلي	GBR
US000003	Adonica	أدونيكا	GBR
US000004	Ady	أدي	GBR
US000005	Aira	أيرا	GBR
US000006	Alexavier	ألكيسافير	GBR
US000007	Allayna	ألاينا	GBR
US000008	Ally	ألي	GBR
US000009	Alyn	ألين	GBR
US000010	Amber	أمبير	GBR
US000011	Amberly	أمبيرلي	GBR
US000012	Amory	أموري	GBR
US000013	Anakin	أناكين	GBR
US000014	Andralyn	أندرالين	GBR
US000015	Anitra	أنيترا	GBR
US000016	Arnie	أرني	GBR
US000017	Art	أرت	GBR
US000018	Artie	أرتي	GBR
US000019	Arty	أرتي	GBR
US000020	Aspen	أسبين	GBR
US000021	Auryon	اوريون	GBR
US000022	Avari	أفاري	GBR
US000023	Azia	أزيا	GBR
US000024	Barbie	باربي	GBR
US000025	Bat	بات	GBR
US000026	Bayle	بايلي	GBR
US000027	Bea	بي	GBR
US000028	Biana	بيانا	GBR
US000029	Blaze	بليز	GBR
US000030	Blue	بلوي	GBR
US000031	Bobby	بوبي	GBR
US000032	Bonner	بونير	GBR
US000033	Bono	بونو	GBR
US000034	Brandi	براندي	GBR
US000035	Brandice	برانديس	GBR
US000036	Brandie	براندي	GBR
US000037	Brandy	براندي	GBR
US000038	Brasen	بريسن	GBR
US000039	Brendy	بريندي	GBR
US000040	Brilliant	بريليانت	GBR
US000041	Bryson	بريزون	GBR
US000042	Buck	بوك	GBR
US000043	Bud	بود	GBR
US000044	Bunny	بوني	GBR
US000045	Cache	كاشي	GBR
US000046	Cade	كيد	GBR
US000047	Cadee	كيدي	GBR
US000048	Caden	كيدن	GBR
US000049	Cady	كادي	GBR
US000050	Cal	كال	GBR
US000051	Candid	كانديد	GBR
US000052	Candie	كاندي	GBR
US000053	Candy	كاندي	GBR
US000054	Carly	كارلي	GBR
US000055	Carlynda	كارليندا	GBR
US000056	Carsyn	كارسين	GBR
US000057	Chailyn	شايلين	GBR
US000058	Chakaluka	شاكالوكا	GBR
US000059	Chalsie	شالسي	GBR
US000060	Chamomile	شاموميلي	GBR
US000061	Channery	شانيري	GBR
US000062	Charla	شارلا	GBR
US000063	Charlee	شارلي	GBR
US000064	Charleigh	شارلي	GBR
US000065	Chelsi	شيلسي	GBR
US000066	Chelsia	شيلسيا	GBR
US000067	Cherlin	شيرلين	GBR
US000068	Chynna	شينا	GBR
US000069	Cinnamon	سينامون	GBR
US000070	Content	كونتينت	GBR
US000071	Creola	كريولا	GBR
US000072	Cricket	كريكيت	GBR
US000073	Daisy	دايزي	GBR
US000074	Darena	ديرنا	GBR
US000075	Datherine	داثيرين	GBR
US000076	Daveigh	دافي	GBR
US000077	Day	داي	GBR
US000078	Dayshaun	دايشاون	GBR
US000079	Deacon	ديكون	GBR
US000080	Deandra	ديندرا	GBR
US000081	December	ديسيمبر	GBR
US000082	Dee	دي	GBR
US000083	Deliz	ديليز	GBR
US000084	Delora	ديلورا	GBR
US000085	Denim	دينيم	GBR
US000086	Denver	دينفير	GBR
US000087	Deon	ديون	GBR
US000088	Derex	ديريكس	GBR
US000089	Destiny	ديستيني	GBR
US000090	Diandra	دياندرا	GBR
US000091	Dillian	ديليان	GBR
US000092	Dimaia	ديمايا	GBR
US000093	Dolly	دولي	GBR
US000094	Dorie	دوري	GBR
US000095	Dragon	دراغون	GBR
US000096	Dreama	دريما	GBR
US000097	Dru	درو	GBR
US000098	Early	إيرلي	GBR
US000099	Easter	إيستير	GBR
US000100	Ebony	إيبوني	GBR
US000101	Emberlynn	إيمبيرلين	GBR
US000102	Eternity	إيتيرنيتي	GBR
US000103	Ethanael	إيثانايل	GBR
US000104	Forever	فوريفير	GBR
US000105	French	فرينتش	GBR
US000106	Gainell	غاينيل	GBR
US000107	Genica	غينيكا	GBR
US000108	Gloriann	غلوريان	GBR
US000109	Graceland	غريسلاند	GBR
US000110	Gusty	غوستي	GBR
US000111	Happy	هابي	GBR
US000112	Havily	هافيلي	GBR
US000113	Holland	هولاند	GBR
US000114	Hollie	هولي	GBR
US000115	Idalee	إديلي	GBR
US000116	Idalia	إداليا	GBR
US000117	Idana	إدانا	GBR
US000118	Ilandere	إلانديري	GBR
US000119	Independence	إنديبيندينس	GBR
US000120	Infinity	إنفينيتي	GBR
US000121	Irish	إريش	GBR
US000122	Isanne	إزاني	GBR
US000123	Jace	جيس	GBR
US000124	Jacey	جيسي	GBR
US000125	Jacie	جاكي	GBR
US000126	Jalen	جيلن	GBR
US000127	Jalene	جيلني	GBR
US000128	Jalia	جاليا	GBR
US000129	Jam	جام	GBR
US000130	Janeeva	جينيفا	GBR
US000131	Janelle	جينل	GBR
US000132	Janina	جانينا	GBR
US000133	Janine	جانيني	GBR
US000134	January	جانواري	GBR
US000135	Jase	جيس	GBR
US000136	Jaunie	جاوني	GBR
US000137	Jaxon	جاكسون	GBR
US000138	Jayden	جايدين	GBR
US000139	Jazlynn	جازلين	GBR
US000140	Jenaya	جينايا	GBR
US000141	Jeneva	جينيفا	GBR
US000142	Jenibelle	جينيبيل	GBR
US000143	Jenn	جين	GBR
US000144	Jennica	جينيكا	GBR
US000145	Jennis	جينيس	GBR
US000146	Jera	جيرا	GBR
US000147	Jerica	جيريكا	GBR
US000148	Jesimae	جيزيماي	GBR
US000149	Jeslyn	جيسلين	GBR
US000150	Jimbo	جيمبو	GBR
US000151	Jock	جوك	GBR
US000152	Jodi	جودي	GBR
US000153	Jody	جودي	GBR
US000154	Johnavon	جونافون	GBR
US000155	Jorjanna	جورجانا	GBR
US000156	Jory	جوري	GBR
US000157	Josie	جوزي	GBR
US000158	Joylyn	جويلين	GBR
US000159	Justice	جوستيس	GBR
US000160	Justis	جوستيس	GBR
US000161	Justus	جوستوس	GBR
US000162	Kacy	كاسي	GBR
US000163	Kaden	كيدن	GBR
US000164	Kaelem	كايليم	GBR
US000165	Kalea	كيلا	GBR
US000166	Kalin	كالين	GBR
US000167	Kallima	كاليما	GBR
US000168	Kameryn	كيمرين	GBR
US000169	Karah	كاراه	GBR
US000170	Karik	كاريك	GBR
US000171	Karsen	كارسين	GBR
US000172	Kat	كات	GBR
US000173	Katima	كاتيما	GBR
US000174	Kaycee	كايسي	GBR
US000175	Kaydence	كايدينس	GBR
