# Kalmasoft Databases
# Database of Unique and Indigenous Names
# References: www.kalmasoft.com/KLEX/dbgivnm.htm, www.kalmasoft.com/KLEX/dbsurnm.htm,  www.kalmasoft.com/KLEX/SAMPLES/KDBGIVE.txt
# Created: 20 May 2021
# Updated: 13 Jun 2026
# Encoding: UTF8
# Delimiter: TAB
# Total entries: +300K
# Countries covered: 21
# Copyright 1999-2025 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# =========================================
# Attributes:
#	ID: Reference ID
#	Name: name in Arabic script
#	Type: type of name
#		C: common, used for given and surnames
#		G: given name
#		S: surname, last name
#	Gender: name gender marker
#		F: female
#		M: male
#		U: unisex
#	Category: name categorization
#		I: indigenous name
#		L: loan name
#		Q: unique name
#	Origin: possible origin of the name
#		A: Arabic origin
#		N: non-Arabic origin
#	Country: two-letter country code.
#		NN: Non-native name or neutral name,
#		DZA: Algeria, BHR: Bahrain, EGY: Egypt, IRQ: Iraq, JOR: Jordan, IRN:  Iran,
#		SAU: Saudi Arabia, KWT: Kuwait, LBN: Lebanon, LBY: Libya, MRT: Mauritania, 
#		MAR: Morocco, OMN: Oman, PSE: Palestine, QAT: Qatar, SDN: Sudan, COM: Comoros
#		SYR: Syria, TUN: Tunisia, TUR: Turkey, ARE: United Arab Emirates, YEM: Yemen, ERI: Eritrea
# =========================================
# Notes:
# This is a validated and refined dataset of unique and indiginous names found in the Middle East and North Africa (MENA).
# It includes both Arabic and quasi-Arabic "commonly used by Arab" names.
# 1- names are written in orthographic variants included the way known they naturally exist.
# 2- names of non-Arabic origin are those found in non-Arab communities or in the peripheries of the Arab world.
# 3- romanized version is available on request.
# 4- This database is continuously being updated.
# =========================================
ID	Name	Type	Gender	Category	Origin	Country
U000001	الباجة جي	S	M	I	N	IRQ
U000002	صوراية	G	F	I	N	DZA
U000003	صمب	G	M	I	N	MRT
U000004	حامينا	G	M	I	N	DZA
U000005	أبكر	G	M	I	N	SDN
U000006	المريض	S	M	Q	A	LBY
U000007	بلومي	G	M	I	N	DZA
U000008	علال	G	M	Q	A	MAR
U000009	قعلول	S	M	Q	N	TUN
U000010	الطائع	S	M	Q	A	MRT
U000011	ست النفر	G	F	I	N	SDN
U000012	دمب	G	M	I	N	MRT
U000013	خريسات	S	M	Q	A	JOR
U000014	الرحباني	S	M	Q	A	LBN
U000015	الفزاني	S	M	Q	N	LBY
U000016	قايد	G	M	Q	A	YEM
U000017	شطورو	S	M	I	N	TUN
U000018	جعجع	S	M	Q	A	LBN
U000019	البلطجي	S	M	Q	N	EGY
U000020	البوابيري	S	M	I	N	SYR
U000021	لفتة	S	M	Q	A	IRQ
U000022	الغياثين	S	M	Q	A	QAT
U000023	طوط	S	M	I	N	LBN
U000024	السادة	G	u	Q	N	SDN
U000025	هاكوز	S	M	Q	N	JOR
U000026	خشبة	S	M	Q	A	EGY
U000027	صعب	G	M	Q	N	LBN
U000028	هريدي	G	M	Q	A	EGY
U000029	كاهي	G	M	I	N	SOM
U000030	الدوسري	S	M	Q	A	SAU
U000031	إيلي	G	M	L	N	LBN
U000032	حننا	S	M	I	N	MRT
U000033	جميع	S	M	Q	A	QAT
U000034	الشبو	S	M	I	N	KWT
U000035	طعمة	S	M	Q	A	SYR
U000036	علبة	S	M	Q	A	EGY
U000037	الماحي	G	M	Q	N	SDN
U000038	مطارنة	S	M	I	N	JOR
U000039	ضاهر	G	M	Q	N	SOM
U000040	موسجي	S	M	I	N	ARE
