# Kalmasoft Databases
# Database of West African Words in Sudanese Arabic
# References: www.kalmasoft.com/KLEX/dbwafsd.htm
# Availability: https://github.com/Kalmasoft/Databases/blob/main/WAFSD/KDBWAFSDAR
# Terminology: www.kalmasoft.com/adevtool.htm
# Craeted: 2 Oct 2024 9:41 AM
# Updated: 22 Feb 2024 9:42 AM
# Encoding: UTF8
# Delimiter: TAB
# Total entries: 3,670+
# Copyright ©1999-2023 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# =========================================
# Licensed under Creative Commons Attribution-ShareAlike 4.0 International license.
# This is a work in progress, not completed, any citations for academic purposes should include the date when the file was downloaded.
# =========================================
# Attributes:
#	ID: 5 digits identification number, [W#####]
#	Sudanese: Sudanese Arabic entry
#	SIPA: Reading for Sudanese Arabic (International Phonetic Alphabet)
#	WAFE: Donor West-African parallel entry
#	WIPA: Reading for West-African entry (International Phonetic Alphabet)
#	Arabic: Arabic meaning
#	English: English parallel word
#	Class: Grammatical class
#		A: Adjective
#		C: Conjunction
#		D: Adverb
#		E: Exclamation
#		N: Noun
#		P: Preposition
#		V: Verb
#	Number: Grammatical number
#		S: Singular
#		P: Plural
#	Language: Donor language
#		ful: Fulfulde
#		hau: Hausa
#		wol: Wolof
#	Region: Entry prevalent region in Sudan
#		HW: High-West
#		N: North
#		HE: High-East
#		W: West
#		C: Center
#		E: East
#		LW: Low-West
#		S: South
#		LE: Low-East
#	Example: Example in donor language
#	Arabic Example: Example in Sudanese Arabic
# =========================================
ID	Sudanese	SIPA	WAFE	WIPA	Arabic	English	Class	Number	Language	Region	Example	Arabic example
W0001	دَقَل	/dɑgɑl/	adakal	/ɑdɑkɑl/	جذع	trunk	N	S	ful	W		
W0002	الغالي	/ɑlɣɑːli/	alkali	/ɑlkɑlɪ/	قاضي المسلمين	Muslim judge	N	S	ful	W		اسم شخصي
W0003	القُوني	/ɑlgɔːni/	alkoni	/ɑlkɔnɪ/	حافظ القرآن		N	S	ful	W		اسم شخصي
W0004	عَرْ	/ʕɑr/	araː	/ɑrɑː/	حمار	donkey	N	S	ful	C		
W0005	كَبَلُّو	/kɑbɑl'luː/	cebalo	/tʃebɑlɔ/	صياد سمك	fisherman	N	S	wol	N		اسم شخصي
W0006	أوتام	/ʔuːtɑm/	cuːtam	/tʃuːtɑm/	مديدة، عصيدة	porridge	N	S	ful	E		
W0007	داجي	/dɑdʒi/	daj	/dɑdʒ/	يلاقي	encounter	V		wol	N		
W0008	دُقار	/dugɑːr/	dëgar	/dɑgɑːr/	شيء صلب	be hard	N	S	wol	C		
W0009	دَكْوة	/dɑkwə/	dege	/dɑg'ga/	عجينة الفول السوداني	peanut butter	V	S	wol	C		
W0010	دَقَّر	/dɑgːɑr/	dëgër	/dɑgɑr/	يصير صلبًا	be strong	V		wol	C		
W0011	داموت	/dɑmɔːt/	demut	/dɑmɔt/	لا شيء	nil	N	S	wol	N		عربي دامو (لا أتكلم العربية)
W0012	دَلِّي	/dɑlːi/	dilːan	/dɪlːɑn/	يذهب	go	V		ful	N	min dillan Karimi	مِندَلِّي كريمي (ذاهبون إلى كريمة)
