# Kalmasoft Databases
# Database of World Names (KDBWNAN)
# References: www.kalmasoft.com/KLEX/dbnames.htm, www.kalmasoft.com/KLEX/dbvarnam.htm
# Availability: Contact Kalmasoft
# Created: 30 Jun 2019
# Updated: 13 Jun 2026
# Encoding: UTF8
# Delimiter: TAB
# Total unique names: 8,000,000+
# Total with Arabic variants: contact Kalmasoft
# Writing scripts covered: 40+
# Languages covered: 50+
# Countries covered: 200+
# Copyright ©1999-2025 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# =========================================
# Attributes:
#	ID: 8 digits identification number, [N########]
#	Name: Name string in native script
#	Gender: Name gender
#		F: female
#		M: male
#		U: unisex
#	Type: Name type
#		C: common
#		G: given name
#		P: patronym
#		S: surname
#	Country: ISO 3166-3 three-letter country code
#	Origin: Name cultural origin.
#		ABS: Abyssinian
#		AFR: African
#		ARB: Arabic
#		ASN: Asian
#		BBL: Biblical
#		BNT: Bantu
#		HEB: Hebrew
#		HLN: Helinic
#		HND: Hindi
#		HSP: Hispanic
#		NAT: Native
#		SLV: Slavonic
#		WST: Western
#	Ethnicity: Name holder potential ethnic group, please refer to www.kalmasoft.com/code.htm#ethnic
#	Religion: Name holder potential religion.
#		BUDH: Buddhism
#		CRST: Christian
#		ISLM: Islam
#		HIND: Hinduism
#		JUDA: Judaism
#		SHNT: Shinto
#		SHAM: Shamanism
#		SIKH: Sikhism
#		TRAD: Traditional
#		NORG: No religion
#	Language: ISO639-3 three-letter language code.
#	Script: ISO15924 four-letter script code, please refer to www.kalmasoft.com/code.htm#lang
#	Complex: Script complex representation.
#	IPA:: International Phonetic Alphabet.
# =========================================
# Notes:
# (1) Country marker designates locale where the name is common or frequent.
# (2) Unisex marker assigns the gender within the designated locale.
# (3) For complex script like Arabic diacritics can be added on request.
# (4) On expansion, the 'Roman' field can be any other selected language.
# =========================================
ID	﻿Name	Gender	Type	Country	Origin	Ethnicity	Religion	Language	Script	Complex	IPA
N00000001	پانگه	F	G	AFG			ISLM	urd	Arab		/pɑnga/
N00000002	پتاسه	F	G	AFG			ISLM	urd	Arab		/ptɑsa/
N00000003	پرخه	F	G	AFG			ISLM	urd	Arab		/parxa/
N00000004	پېروزه	F	G	AFG			ISLM	urd	Arab		/peruza/
N00000005	تنکۍ	F	G	AFG			ISLM	urd	Arab		/tankəi/
N00000006	توتکۍ	F	G	AFG			ISLM	urd	Arab		/tutkəi/
N00000007	تورپيکۍ	F	G	AFG			ISLM	urd	Arab		/turpykəi/
N00000008	ځلبله	F	G	AFG			ISLM	urd	Arab		/dzalbla/
N00000009	ځواک	M	G	AFG			ISLM	urd	Arab		/dzuɑk/
N00000010	ځولۍ	F	G	AFG			ISLM	urd	Arab		/dzuləi/
N00000011	ځيرک	M	G	AFG			ISLM	urd	Arab		/dzyrak/
N00000012	ځيږ	M	G	AFG			ISLM	urd	Arab		/dzyg/
N00000013	ځيگر	M	G	AFG			ISLM	urd	Arab		/dzygar/
N00000014	څانگه	F	G	AFG			ISLM	urd	Arab		/tsɑnga/
N00000015	خاورين	M	G	AFG			ISLM	urd	Arab		/xɑwrin/
N00000016	خپلواک	M	G	AFG			ISLM	urd	Arab		/xaplwɑk/
N00000017	خزانه	F	G	AFG	ARB		ISLM	urd	Arab		/xazɑna/
N00000018	خوځښت	M	G	AFG			ISLM	urd	Arab		/xudzʂt/
N00000019	خيال	M	G	AFG			ISLM	urd	Arab		/xajɑl/
N00000020	خيبر	M	G	AFG			ISLM	urd	Arab		/xajbar/
N00000021	Արծնի	F	G	ARM		Armen	CRST	hye	Armn		/ɑrtsni/
N00000022	Արծուիկ	F	G	ARM		Armen	CRST	hye	Armn		/ɑrtsɔik/
N00000023	Արման	F	G	ARM		Armen	CRST	hye	Armn		/ɑrmɑn/
N00000024	Արմենուհի	F	G	ARM		Armen	CRST	hye	Armn		/ɑrmɛnɔhi/
N00000025	Արմենուշ	F	G	ARM		Armen	CRST	hye	Armn		/ɑrmɛnɔʃ/
N00000026	Արմիկ	F	G	ARM		Armen	CRST	hye	Armn		/ɑrmik/
N00000027	Արմինէ	F	G	ARM		Armen	CRST	hye	Armn		/ɑrmine/
N00000028	Արշալոյս	F	G	ARM		Armen	CRST	hye	Armn		/ɑrʃɑlɔjs/
